T(align.chunk),T(align.chunk.lemm),T(term),S(term),source,class
_N_alat _PREF_za _A_društven _N_umrežavanje,_N_alat _PREF_za _A_društven _N_umrežavanje,_N_alat _PREF_za _A_društven _N_umrežavanje,_ADJ_social_NOUN_networking_NOUN_tool,1,1
_N_format tmx a,_N_format tmx,tmx _N_format,_NOUN_tmx_VERB_format,1,1
_N_šema _N_jezik _PREF_za,_N_šema _N_jezik,_N_šema _N_jezik,_NOUN_schema_NOUN_language,1,0
_N_računar _PREF_u _N_obrazovanje,_N_računar _PREF_u _N_obrazovanje,_N_računar _PREF_u _N_obrazovanje,_NOUN_computer_ADP_in_NOUN_education,1,1
_N_biblioteka _N_koledž,_N_biblioteka _N_koledž,_N_biblioteka _N_koledž,_NOUN_college_NOUN_library,0,1
_A_medicinski _N_fakultet,_A_medicinski _N_fakultet,_A_medicinski _N_fakultet,_NOUN_faculty_ADP_of_NOUN_medicine,1,1
_A_računarski _N_tehnologija _PREF_u _N_oblak,_A_računarski _N_tehnologija _PREF_u _N_oblak,_A_računarski _N_tehnologija _PREF_u _N_oblak,_NOUN_cloud_NOUN_computing,1,1
_A_korisnički _N_usluga,_A_korisnički _N_usluga,_A_korisnički _N_usluga,_NOUN_user_NOUN_service,0,1
_N_informacija _PREF_o _A_digitalizovan _N_objekt,_N_informacija _PREF_o _A_digitalizovan _N_objekt,_N_informacija _PREF_o _A_digitalizovan _N_objekt,_NOUN_information_VERB_object,0,0
kao _A_osnovni _N_element,kao _A_osnovni _N_element,_A_osnovni _N_element,_ADJ_basic_NOUN_element,1,1
_A_korpusni _N_lingvistika,_A_korpusni _N_lingvistika,_A_korpusni _N_lingvistika,_NOUN_corpus_NOUN_linguistics,1,1
_A_prost _N_oblik _PRO_koji,_N_oblik _A_prost,_A_prost _N_oblik,_NOUN_simple_NOUN_form,1,1
_A_lokalan _N_aplikacija,_A_lokalan _N_aplikacija,_A_lokalan _N_aplikacija,_ADJ_local_NOUN_application,1,1
_PREF_i _N_veb _N_alat,_PREF_i _N_veb _N_alat,_N_veb _N_alat,_NOUN_web_NOUN_tool,1,1
_PREF_i _N_prečišćavanje _N_tekst _PREF_u _N_okvir,_N_prečišćavanje _N_tekst _PREF_u _N_okvir,_N_prečišćavanje _N_tekst _PREF_u _N_okvir,_NOUN_quality_VERB_assessment,0,0
_A_kratak _V_pričati,_A_kratak _V_pričati ili,_A_kratak _V_pričati,_ADJ_short_NOUN_story,1,1
_N_znak _N_jednakost,_N_znak _N_jednakost,_N_znak _N_jednakost,_ADJ_equal_NOUN_sign,1,1
marc _N_zapis _PRO_koji,marc _N_zapis,marc _N_zapis,_NOUN_marc_VERB_record,1,1
_N_tehnologija _A_ljudski _N_jezik,_N_tehnologija _A_ljudski _N_jezik,_N_tehnologija _A_ljudski _N_jezik,_NOUN_human_NOUN_language_NOUN_technology,1,1
_PREF_iz _A_računarski _N_lingvistika,_A_računarski _N_lingvistika,_A_računarski _N_lingvistika,_ADJ_computational_NOUN_linguistics,1,1
_N_knjiga _PREF_u _A_štampan _N_forma kao,kao _PREF_i _N_knjiga _PREF_u _A_štampan _N_forma,_N_knjiga _PREF_u _A_štampan _N_forma,_VERB_printed_NOUN_book,0,1
_V_komadati _A_optički _N_disk,_N_komad _A_optički _N_disk,_N_komad _A_optički _N_disk,_ADJ_optical_NOUN_disc,0,0
_N_pretraživanje _N_citat,_N_pretraživanje _N_citat _PRO_taj,_N_pretraživanje _N_citat,_NOUN_search_ADP_for_NOUN_citation,1,1
_A_jezički _N_sistem _PRO_koji,_PRO_ona _A_jezički _N_sistem _PRO_koji,_A_jezički _N_sistem,_NOUN_language_NOUN_system,1,1
_A_velik _N_rečnik _A_stran _N_reč _PREF_i,_A_velik _N_rečnik _A_stran _N_reč,_A_velik _N_rečnik _A_stran _N_reč,_ADJ_dictionary_ADP_of_ADJ_foreign_NOUN_word,0,0
_A_bibliotečki _N_mreža _PREF_u,_A_bibliotečki _N_mreža,_A_bibliotečki _N_mreža,_NOUN_library_NOUN_network,0,1
_N_papir _N_pergament,_N_papir _N_pergament ili,_N_papir _N_pergament,_NOUN_parchment_NOUN_paper,0,1
_PREF_i _A_opak _N_om,_A_opak _N_om,_A_opak _N_om,_NOUN_OPAC,1,0
_PREF_i _A_strukturalan _N_informacija,_PREF_i _A_strukturalan _N_informacija,_A_strukturalan _N_informacija,_ADJ_structural_NOUN_information,1,1
_N_razmena _N_resurs _PREF_i,_N_razmena _N_resurs,_N_razmena _N_resurs,_NOUN_resource_VERB_sharing,1,1
_PREF_na _N_osnov _N_citiranost,_N_osnov _N_citiranost,_N_osnov _N_citiranost,_NOUN_citation_NOUN_analysis,0,0
_A_rodoslovni _A_jezički,_A_rodoslovni _A_jezički,_A_rodoslovni _A_jezički,_NOUN_family_NOUN_tree,0,0
_A_prethodan _V_stanjiti,_A_prethodan _V_stanjiti,_A_prethodan _V_stanjiti,_NOUN_background,0,0
kao _A_zaseban _N_kategorija,kao _A_zaseban _N_kategorija,_A_zaseban _N_kategorija,_ADJ_separate_NOUN_category,1,1
_PRO_isti _N_način _N_upravljanje,_PRO_isti _N_način _N_upravljanje _PREF_i,_PRO_isti _N_način _N_upravljanje,_NOUN_course_NOUN_management,1,0
_N_paket _PREF_na _A_srpski _N_jezik _PRO_koji,_N_paket _PREF_na _A_srpski _N_jezik,_N_paket _PREF_na _A_srpski _N_jezik,_NOUN_office_VERB_suite,1,0
_N_članak _PREF_iz _N_novina,_N_članak _PREF_iz _N_novina _PREF_i,_N_članak _PREF_iz _N_novina,_NOUN_newspaper_NOUN_article,1,1
wos _N_ala,wos _N_ala,wos _N_ala,_NOUN_WoS,1,0
_N_kaskada _N_graf,_N_graf _N_kaskada,_N_graf _N_kaskada,_NOUN_cascade_ADP_of_NOUN_graph,1,0
_PREF_i _PREF_u _A_svakodnevan _N_aktivnost,_PREF_i _PREF_u _A_svakodnevan _N_aktivnost,_A_svakodnevan _N_aktivnost,_NOUN_everyday_NOUN_activity,1,1
_A_austrijski _A_nacionalan _N_biblioteka,_A_austrijski _A_nacionalan _N_biblioteka,_A_austrijski _A_nacionalan _N_biblioteka,_ADJ_austrian_ADJ_national_NOUN_library,1,1
_A_bibliotečki _PREF_i _A_informativan _N_sistem,_A_bibliotečki _PREF_i _A_informativan _N_sistem,_A_bibliotečki _A_informativan _N_sistem,_NOUN_library_NOUN_information_NOUN_system,1,1
_N_tip _N_resurs,_N_tip _N_resurs,_N_resurs _N_tip,_NOUN_resource_NOUN_type,1,0
_A_ekvivalentan _N_termin,_A_ekvivalentan _N_termin _PREF_u,_A_ekvivalentan _N_termin,_NOUN_equivalent_NOUN_term,0,1
_A_težak _A_rad,_PREF_i _A_težak _A_rad,_A_težak _A_rad,_ADV_hard_VERB_work,1,1
_PREF_i _N_građevinarstvo _PREF_za _N_godina,_N_građevinarstvo _PREF_za _N_godina,_N_građevinarstvo _PREF_za _N_godina,_NOUN_civil_NOUN_engineering,1,0
_N_sredina _A_akademski _N_godina,_N_sredina _A_akademski _N_godina _PREF_i _PREF_u,_N_sredina _A_akademski _N_godina,_ADJ_academic_NOUN_year,0,0
_N_analiza _N_podatak _PREF_za,_N_analiza _N_podatak sa,_N_podatak _PREF_za _N_analiza,_NOUN_data_NOUN_analysis,1,0
_A_hijerarhijski _N_mreža,kao _A_hijerarhijski _N_mreža,_A_hijerarhijski _N_mreža,_NOUN_hierarchy,0,0
_A_drugi _N_servis _N_univerzitet _PREF_u,_A_drugi _N_servis _N_univerzitet _PREF_u,_A_drugi _N_servis _N_univerzitet,_NOUN_university_NOUN_service,1,0
_PRO_ona _A_narodni _N_muzej,_A_narodni _N_muzej,_A_narodni _N_muzej,_ADJ_national_NOUN_museum,0,1
_PREF_i _PRO_taj _PREF_od _A_dobar _N_stručnjak _PREF_u,_PREF_i _PRO_taj _PREF_od _A_dobar _N_stručnjak,_A_dobar _N_stručnjak,_NOUN_expert,0,0
_N_cilj _N_poravnavanje _PRO_ona,_N_cilj _N_poravnavanje,_N_cilj _N_poravnavanje,_NOUN_goal,0,0
_PREF_i _N_fakultet _PREF_za _N_matematika _PREF_i,_PREF_i _N_fakultet _PREF_za _N_matematika,_N_fakultet _PREF_za _N_matematika,_NOUN_faculty_ADP_of_NOUN_mathematics,1,1
_A_funkcionalan _N_reč,_A_funkcionalan _N_reč ne,_A_funkcionalan _N_reč,_NOUN_function_NOUN_word,1,1
_N_uklanjanje _N_prefiks,_N_uklanjanje _N_prefiks,_N_uklanjanje _N_prefiks,_NOUN_prefix_NOUN_removal,1,1
_V_bazati _A_pun _N_tekst,_V_bazati _A_pun _N_tekst,_V_bazati sa _A_pun _N_tekst,_ADJ_full_NOUN_text,0,0
_N_inicijativa _N_nedostatak,_N_inicijativa _N_nedostatak,_N_inicijativa _N_nedostatak,_NOUN_lack_ADP_of_ADJ_initiative,1,0
flektivni _N_kod _PRO_koji,flektivni _N_kod _PRO_koji,flektivni _N_kod,_ADJ_inflectional_NOUN_code,1,1
_A_mentalan _N_leksikon,_A_mentalan _N_leksikon,_A_mentalan _N_leksikon,_ADJ_mental_NOUN_lexicon,1,1
_PREF_i _V_razmeniti _N_informacija,_PREF_i _N_razmena _N_informacija,_N_informacija kroz _N_razmena,_NOUN_information_NOUN_exchange,0,1
_N_integritet _N_podatak,_PREF_i _N_integritet _N_podatak,_N_integritet _N_podatak,_NOUN_data_NOUN_integrity,1,1
_N_grupa _N_figura _N_reč,_N_grupa _N_figura _N_reč,_N_grupa _N_figura _N_reč,_NOUN_group_ADP_of_NOUN_figure,1,0
_N_razrešavanje _N_višeznačnost,_N_razrešavanje _N_višeznačnost,_N_razrešavanje _N_višeznačnost,_NOUN_disambiguation,0,1
_PRO_ona _A_realizovan _PRO_sam _N_skeniranje,_PRO_ona _A_realizovan _PRO_sam _N_skeniranje,_A_realizovan _PRO_sam _N_skeniranje,_VERB_scanning,0,0
_N_mreža _PREF_u _N_biblioteka,_N_mreža _N_biblioteka,_N_biblioteka _PREF_iz _N_mreža,_NOUN_library_NOUN_network,0,1
_PREF_u _A_tradicionalan _N_delatnost _N_biblioteka,_A_tradicionalan _N_delatnost _N_biblioteka,_A_tradicionalan _N_delatnost _N_biblioteka,_ADJ_traditional_NOUN_library,0,0
_A_prvi _N_ime,_A_prvi _N_ime,_A_prvi _N_ime,_ADJ_first_NOUN_name,0,0
_A_veštački _N_inteligencija _PREF_i,_PREF_za _A_veštački _N_inteligencija,_A_veštački _N_inteligencija,_ADJ_artificial_NOUN_intelligence,1,1
_N_mogućnost _N_pretraživanje,_N_mogućnost _N_pretraživanje _V_dati _PREF_na,_N_mogućnost _N_pretraživanje,_NOUN_search_NOUN_facility,0,1
_A_bibliotečki _N_mreža _PREF_u,_A_bibliotečki _N_mreža,_A_bibliotečki _N_mreža,_NOUN_library_NOUN_network,1,1
tei _N_format _PREF_za,tei _N_format _PRO_ona,tei _N_format,_NOUN_tei_VERB_format,1,1
_A_društven _N_delatnost _PREF_i,_A_društven _N_delatnost,_A_društven _N_delatnost,_ADJ_social_NOUN_activity,1,1
nikolasom _N_batler,_PREF_i nikolasom _N_batler,nikolasom _N_batler,_NOUN_nicholas_VERB_butler,1,0
_A_inostran _N_politika _A_sjedinjen _N_država,_A_inostran _N_politika _A_sjedinjen _N_država,_A_inostran _N_politika _A_sjedinjen _N_država,_ADJ_foreign_NOUN_policy,1,0
_A_digitalizovan _N_objekt,_A_digitalizovan _N_objekt,_PRO_sam _A_digitalizovan _N_objekt,_NOUN_object,0,0
ohaju _N_univerzitet,ohaju _N_univerzitet,ohaju _N_univerzitet,_NOUN_state_ADP_of_NOUN_ohio,1,0
_A_drugi _A_semantički _N_relacija,_A_drugi _A_semantički _N_relacija,_A_drugi _A_semantički _N_relacija,_ADJ_semantic_NOUN_relation,1,0
_N_klasa _A_imenički sinsetova,_V_klasati _A_imenički sinsetova,_V_klasati _A_imenički sinsetova,_NOUN_noun_VERB_synset,1,0
_N_koncept _PREF_i viki,_N_koncept _PREF_i viki,viki _N_koncept,_NOUN_wiki_VERB_concept,1,1
_N_kategorija _N_domen,_N_kategorija _N_domen ili _PRO_neki,_N_kategorija _PREF_iz _N_domen,_NOUN_category_NOUN_domain,1,0
_V_dati _V_slikati _N_bibliotekar,_PREF_i _V_slikati _N_bibliotekar _PREF_i,_V_slikati _N_bibliotekar,_NOUN_image_ADP_of_ADJ_librarian,1,1
_PREF_i _A_optički _N_medij,_PREF_i _A_optički _N_medij,_A_optički _N_medij,_ADJ_optical_NOUN_disc,1,0
_A_semantički _N_mreža _PREF_i,_PRO_ona _A_semantički _N_mreža _PRO_koji,_A_semantički _N_mreža,_ADJ_semantic_NOUN_network,0,1
eu _N_partner,eu _N_partner,eu _N_partner,_NOUN_eu_NOUN_partner,1,1
_N_društvo poput _N_biblioteka,_N_društvo poput _N_biblioteka,_N_društvo poput _N_biblioteka,_NOUN_company_NOUN_library,0,0
_PREF_i _N_pretraživanje _PREF_na _N_veb,_PREF_i _N_pretraživanje _PREF_na _N_veb,_N_pretraživanje _PREF_na _N_veb,_VERB_searching,0,0
_N_zadatak _N_polaznik,_N_zadatak _N_polaznik,_N_zadatak _N_polaznik,_NOUN_outcome,0,0
_PRO_ona sa _N_tekst _PREF_iz _N_područje,_PRO_ona sa _N_tekst _PREF_iz _N_područje,_N_tekst _PREF_iz _N_područje,_NOUN_field,0,0
_A_odnosni _V_klasati,_A_odnosni _N_klas,_A_odnosni _N_klas,_NOUN_class,0,0
_PRO_ona _A_kraljevski _N_biblioteka,_A_kraljevski _N_biblioteka,_A_kraljevski _N_biblioteka,_NOUN_royal_NOUN_library,1,1
_A_vozni _N_red,_A_vozni _N_red,_A_vozni _N_red,_ADJ_timetable,0,1
_PREF_i _N_pozicija _N_rečnik,_PREF_i _N_pozicija _N_rečnik,_N_pozicija _N_rečnik,_NOUN_position,0,0
_A_evropski _N_građanin,_A_evropski _N_građanin _PREF_i,_A_evropski _N_građanin,_ADJ_european_NOUN_citizen,1,1
_A_onlajn _N_servis,_A_onlajn _N_servis,_A_onlajn _N_servis,_NOUN_online_NOUN_service,1,1
_A_davni _N_godina,još _A_davni _N_godina _PREF_na,_A_davni _N_godina,_ADV_back,0,0
_A_paradigmatski _A_ravan,_A_paradigmatski _A_ravan,_A_paradigmatski _A_ravan,_ADJ_paradigmatic_NOUN_relation,0,0
ili _V_biti _PRO_koji _N_tip _N_informacija,_V_biti _PRO_koji _N_tip _N_informacija _PREF_iz,_N_tip _N_informacija,_NOUN_type_ADP_of_NOUN_information,1,1
_N_internet _N_konekcija _PREF_i,_N_internet _N_konekcija,_N_internet _N_konekcija,_NOUN_internet_NOUN_connection,1,1
_A_korišćen _N_koncept,_A_korišćen _N_koncept,_A_korišćen _N_koncept,_ADJ_natural_NOUN_language,1,0
_N_element _N_klasa,_N_element _V_klasati,_N_element _V_klasati,_NOUN_m24_NOUN_category,1,0
_A_biomedicinski _N_nauk a,_A_biomedicinski _N_nauk a,_A_biomedicinski _N_nauk,_ADJ_biomedical_NOUN_science,1,1
_N_transfer _N_znanje _PREF_i,_N_transfer _N_znanje,_N_transfer _N_znanje,_NOUN_knowledge_VERB_transfer,1,1
_A_intelektualan _N_svojina _PREF_na,_A_intelektualan _N_svojina ili,_A_intelektualan _N_svojina,_ADJ_intellectual_NOUN_property_ADV_right,0,0
_A_evropski _A_kulturan _N_nasleđe,_A_evropski _A_kulturan _N_nasleđe,_A_evropski _A_kulturan _N_nasleđe,_ADJ_european_ADJ_cultural_NOUN_heritage,1,1
_PREF_i _N_internet _PREF_na _N_biblioteka,_N_internet _PREF_na _N_biblioteka,_N_internet _N_biblioteka,_NOUN_internet_ADP_on_NOUN_library,1,0
_N_analiza _N_leksema _PREF_iz,_N_analiza _N_leksema _PREF_iz,_N_analiza _N_leksema,_ADJ_morphological_NOUN_process,1,0
onjaln _N_servis,onjaln _N_servis,onjaln _N_servis,_NOUN_online_NOUN_service,1,1
_N_klasifikacija _N_dokument,_N_klasifikacija _N_dokument _PREF_i,_N_dokument _N_klasifikacija,_NOUN_document_NOUN_classification,1,0
_PREF_u _A_južni srbiji,_A_južni srbiji,_A_južni srbiji,_NOUN_southern_NOUN_serbia,1,1
_N_graf sa _N_slika,_N_graf sa _V_slikati,_N_graf sa _V_slikati,_NOUN_graph_ADP_in_NOUN_figure,1,0
_A_društven _N_status _PREF_i,_A_društven _N_status,_A_društven _N_status,_ADJ_social_NOUN_status,1,1
_A_fizički _N_nosilac,_A_fizički _N_nosilac,_A_fizički _N_nosilac,_ADJ_physical_NOUN_carrier,0,1
_V_brojati _N_časopis _PREF_u _N_okvir,_V_brojati _N_časopis _PREF_u _N_okvir,_V_brojati _N_časopis _PREF_u _N_okvir,_ADJ_journal_NOUN_issue,1,0
_A_mnogi _A_obrazovni _N_institucija,_A_mnogi _A_obrazovni _N_institucija,_A_mnogi _A_obrazovni _N_institucija,_ADJ_educational_NOUN_institution,1,0
_N_praksa _N_proizvođač,_N_praksa _N_proizvođač,_N_praksa _N_proizvođač,_NOUN_vendor,0,0
_N_mreža _PRO_ona _N_računar,_N_mreža _PRO_ona _N_računar,_N_računar sa _N_mreža,_NOUN_computer_NOUN_network,1,0
_A_profesionalan _N_udruženje,_A_profesionalan _N_udruženje,_A_profesionalan _N_udruženje,_ADJ_professional_NOUN_association,1,1
_A_stručan _N_članak,_A_stručan _N_članak _PREF_su,_A_stručan _N_članak,_ADJ_professional_NOUN_paper,1,1
_A_leksički _N_relacija _PREF_su,_A_leksički _N_relacija,_A_leksički _N_relacija,_ADJ_lexical_NOUN_relation,1,1
_N_naslov _N_časopis _PREF_na _N_lista,_N_naslov _N_časopis _PREF_na _V_listati a,_N_naslov _N_časopis _PREF_na _V_listati,_ADJ_journal_NOUN_list,1,0
_N_dobavljač _V_bazati _N_podatak,_N_dobavljač _V_bazati _N_podatak,_N_dobavljač _V_bazati _N_podatak,_NOUN_vendor_ADP_of_NOUN_database,1,0
kao _A_počasni _N_član,kao _A_počasni _N_član,_A_počasni _N_član,_ADJ_honorary_NOUN_member,1,1
_A_komunikacioni _N_kanal,_PREF_i _A_komunikacioni _N_kanal,_A_komunikacioni _N_kanal,_NOUN_communication_NOUN_channel,0,1
_N_master _N_program _N_obuka _PREF_za,_N_master _N_program _N_obuka _PREF_za,_N_master _N_program _N_obuka,_NOUN_master,0,0
_N_razrešenje _N_akronim,_N_razrešenje _N_akronim,_N_razrešenje _N_akronim,_ADJ_full_NOUN_name,0,0
_PREF_i _N_pronalaženje _N_dokument,_PREF_i _N_pronalaženje _N_dokument,_N_pronalaženje _N_dokument,_NOUN_document_NOUN_retrieval,0,1
_N_bibliotekarstvo _N_informatika,_N_bibliotekarstvo _N_informatika _PREF_i,_N_bibliotekarstvo _N_informatika,_NOUN_library_NOUN_information,1,0
_A_elektronski _N_rečnik,_A_elektronski _N_rečnik ili,_A_elektronski _N_rečnik,_ADJ_electronic_NOUN_dictionary,0,1
_PREF_i _A_srpski _N_jezik _PREF_u,_A_srpski _N_jezik,_N_jezik _PREF_u _A_srpski _N_jezik,_ADJ_serbian_NOUN_language,1,0
_N_ministarstvo _N_prosveta _PREF_i,_N_ministarstvo _N_prosveta,_N_ministarstvo _N_prosveta,_NOUN_ministry_ADP_of_NOUN_education,1,1
_N_materijal _PREF_za _N_učenje _PREF_i,_N_materijal _PREF_za _N_učenje,_N_materijal _PREF_za _N_učenje,_NOUN_teaching_NOUN_material,0,1
_N_štampanje _PREF_na _N_papir,_N_štampanje _PREF_na _N_papir,_N_štampanje _PREF_na _N_papir,_VERB_printing_NOUN_paper,0,0
_A_svetski _N_rat,_A_svetski _N_rat,_A_svetski _N_rat,_NOUN_world_NOUN_war_NOUN_ii,1,0
_PREF_u _V_raditi _N_stanica,_V_raditi _N_stanica,_PRO_taj _V_raditi _N_stanica,_NOUN_radio_NOUN_station,1,1
_PREF_i _A_akademski _N_biblioteka _PRO_sebe,_N_biblioteka _PREF_u _A_akademski,_A_akademski _N_biblioteka,_ADJ_academic_NOUN_library,1,1
ili _PREF_u _A_štampan _N_oblik,ili _PREF_u _A_štampan _N_oblik,_A_štampan _N_oblik,_ADV_hard_VERB_copy,0,1
_N_tačnost _A_optimalan,_A_optimalan _N_tačnost,_A_optimalan _N_tačnost,_ADJ_optimal_NOUN_accuracy,1,1
_PREF_i _A_prirodan _N_dobro,_PREF_i _A_prirodan _A_dobar _PREF_u,_A_prirodan _A_dobar,_ADJ_natural_NOUN_resource,1,1
_A_jezički _N_model _PRO_ona _A_određen,_A_jezički _N_model _PRO_ona _A_određen,_A_određen _A_jezički _N_model,_NOUN_language_NOUN_model,1,0
_A_poljski _N_akademija,_A_poljski _N_akademija,_A_poljski _N_akademija,_ADJ_polish_NOUN_academy_ADP_of_NOUN_science,1,0
_N_obrada _N_podatak,_N_obrada _N_podatak _PREF_i,_N_obrada _N_podatak,_NOUN_information_NOUN_processing,0,0
_A_bibliografski _N_informacija,_PREF_i _A_bibliografski _N_informacija,_A_bibliografski _N_informacija,_ADJ_bibliographic_NOUN_information,0,1
_PREF_i _A_osnovni _N_informacija _PREF_o _N_program,_PREF_i _A_osnovni _N_informacija _PREF_o _N_program,_A_osnovni _N_informacija _PREF_o _N_program,_ADJ_basic_NOUN_information,1,0
_N_polica _PREF_za _N_knjiga,_N_polica _PREF_za _N_knjiga,_N_knjiga _PREF_na _N_polica,_NOUN_bookcase,0,1
_PREF_za _A_ključan _N_reč,_PREF_za _A_ključan _N_reč,_A_ključan _N_reč,_NOUN_keyword,0,1
_A_likovni _N_umetnost,_A_likovni _N_umetnost,_A_likovni _N_umetnost,_ADJ_graphic_NOUN_art,0,0
_N_predmet _PREF_i _A_drugi,_N_predmet _PREF_i _A_drugi,_A_drugi _N_predmet,_DET_no_NOUN_subject,0,0
_A_berlinski _N_škola _N_bibliotekarstvo,_A_berlinski _N_škola _N_bibliotekarstvo _PREF_i,_A_berlinski _N_škola _N_bibliotekarstvo,_NOUN_berlin_NOUN_school_ADP_of_ADJ_library,1,1
_PREF_i _PREF_za _A_nepoznat _N_reč,kao _A_nepoznat _N_reč,_A_nepoznat _N_reč,_NOUN_unknown_NOUN_word,1,1
_A_maksimalan _N_smanjenje,_A_maksimalan _N_smanjenje,_A_maksimalan _N_smanjenje,_NOUN_reduce,0,0
_N_ekstrakcija _A_ličan _N_ime _PREF_i,_N_ekstrakcija _A_ličan _N_ime,_N_ekstrakcija _A_ličan _N_ime,_NOUN_extraction_ADP_of_ADJ_personal_NOUN_name,1,1
_A_upitni _N_jezik,_A_upitni _N_jezik,_A_upitni _N_jezik,_NOUN_query_NOUN_language,1,1
_PREF_za _A_člani _N_udruženje,_PREF_za _A_člani _N_udruženje,_A_člani _N_udruženje,_NOUN_association,0,0
_N_biblioteka _N_članica,_N_biblioteka _N_članica,_N_biblioteka _N_članica,_NOUN_membership,0,0
_N_razvoj _N_projekt,_N_razvoj _N_projekt,_N_razvoj _N_projekt,_NOUN_development_NOUN_project,1,0
_N_kolekcija _N_dokument _PREF_u _N_potraga _PREF_za,_N_kolekcija _N_dokument _PREF_u _N_potraga _PREF_za,_N_kolekcija _N_dokument _PREF_u _N_potraga,_NOUN_document_NOUN_collection,1,0
_A_kratak _N_period,_A_kratak _N_period _PREF_od,_PRO_sam _A_kratak _N_period,_ADJ_short_NOUN_period,1,0
kao _N_softver _A_otvoren _N_kod,_N_softver _A_otvoren _N_kod,_N_softver _A_otvoren _N_kod,_ADJ_open_NOUN_source_NOUN_software,1,1
_N_tekst _PREF_i _N_dokument,_N_tekst _PREF_i _N_dokument,_N_tekst _N_dokument,_NOUN_text_VERB_document,1,0
_A_informacioni _N_mreža,_A_informacioni _N_mreža,_A_informacioni _N_mreža,_NOUN_information_NOUN_network,0,1
_A_drugi _A_standardan _N_format,_A_drugi _A_standardan _N_format,_A_drugi _A_standardan _N_format,_ADJ_standard_NOUN_format,1,0
_PREF_i _A_napredan _N_tehnologija _PREF_za,_PREF_i _A_napredan _N_tehnologija,_A_napredan _N_tehnologija,_VERB_advanced_NOUN_technology,1,1
_A_vlastit _N_ime _PREF_na _N_osnov _A_početan _A_velik _N_slovo,_A_vlastit _N_ime _PREF_na _N_osnov _A_početan _A_velik _N_slovo,_A_vlastit _N_ime _PREF_na _N_osnov _A_početan _A_velik _N_slovo,_ADJ_proper_NOUN_name,0,0
_A_opšti _N_kultura,_A_opšti _N_kultura,_A_opšti _N_kultura,_ADJ_general_NOUN_knowledge,0,0
_A_jednostavan _N_slučaj,_A_jednostavan _N_slučaj,_A_jednostavan _N_slučaj,_NOUN_simplest_NOUN_case,1,1
_A_različit _V_poreći,_A_različit _V_poreći _PREF_i,_A_različit _V_poreći,_NOUN_background,0,0
_A_trpni _A_glagolski _N_pridev,_A_trpni _A_glagolski _N_pridev,_A_trpni _A_glagolski _N_pridev,_NOUN_past_NOUN_participle,1,1
_PREF_i _A_statistički _A_mašinski _N_prevođenje,_PREF_i _A_statistički _A_mašinski _N_prevođenje,_A_statistički _A_mašinski _N_prevođenje,_NOUN_SMT,1,1
_A_instant _N_poruka,_A_instant _N_poruka,_A_instant _N_poruka,_NOUN_instant_VERB_messaging,0,1
_A_drugi _N_cilj,_A_drugi _N_cilj,_A_drugi _N_cilj,_NOUN_purpose,0,0
_N_tehnologija _N_veb,_N_veb _N_tehnologija,_N_veb _N_tehnologija,_NOUN_web_NOUN_technology,1,1
_A_konačan _N_verzija,_A_konačan _N_verzija,_A_konačan _N_verzija,_ADJ_final_NOUN_version,0,1
_PREF_iz _A_komercijalan _V_bazati _N_podatak a _PREF_iz,_A_komercijalan _V_bazati _N_podatak _PREF_i _PREF_u,_A_komercijalan _V_bazati _N_podatak,_ADJ_commercial_NOUN_database,1,1
_N_nauk _PREF_iz _N_oblast,_N_nauk _PREF_iz _N_oblast,_N_nauk _PREF_iz _N_oblast,_NOUN_field,0,0
_N_sastanak _N_komisija,_N_sastanak _N_komisija _PREF_u,_N_sastanak _N_komisija,_NOUN_meeting,0,0
_N_informacija _PREF_o _N_domen,_N_informacija _PREF_o _N_domen,_N_informacija _PREF_o _N_domen,_NOUN_information_ADP_on_NOUN_domain,1,0
_PREF_i _A_složen _N_reč,ili _A_složen _N_reč _PRO_koji _PRO_sebe,_A_složen _N_reč,_NOUN_compound_NOUN_word,0,1
_PRO_ona _A_otvoren _N_standard,_PRO_ona _A_otvoren _N_standard,_A_otvoren _N_standard,_ADJ_open_ADJ_standard,1,1
tei _N_dokument ili,tei _N_dokument ili,tei _N_dokument,_NOUN_TEI,1,0
_A_zdravorazumski _N_znanje,_A_zdravorazumski _N_znanje,_A_zdravorazumski _N_znanje,_ADJ_common_NOUN_knowledge,0,1
_PREF_i _PREF_po _A_dopisan _N_oznaka,_A_dopisan _N_oznaka,_A_dopisan _N_oznaka,_NOUN_variant,0,0
_A_novinski _N_tekst,_A_novinski _N_tekst,_A_novinski _N_tekst,_NOUN_sample_VERB_text,1,0
rfid _N_sistem,rfid _N_sistem,rfid _N_sistem,_VERB_rfid_NOUN_system,1,1
_A_britanski _N_biblioteka,_A_britanski _N_biblioteka _PREF_iz,_A_britanski _N_biblioteka,_ADJ_british_NOUN_library,1,1
_A_bibliotečki _N_radnik,_A_bibliotečki _N_radnik,_A_bibliotečki _N_radnik,_NOUN_library_NOUN_staff,0,1
_N_izvor _N_podatak _PREF_i,_N_izvor _N_podatak _PREF_o,_N_izvor _N_podatak,_NOUN_source_ADP_of_NOUN_data,1,1
_A_prvi _V_brojati _PREF_iz _N_godina,_A_prvi _V_brojati _PREF_iz _N_godina,_A_prvi _V_brojati _PREF_iz _N_godina,_ADJ_first_NOUN_issue,0,0
